Name,C_Type,Veg_Non
chicken in mahalak sauce,indian,non-veg
grilled kasundi honey chicken with sweet potato mash,indian,non-veg
chicken dong style,chinese,non-veg
microwave tandoori chicken,indian,non-veg
methi malai cranberry chicken,indian,non-veg
southern fried chicken tenders,snack,non-veg
thai style chicken tikka,thai,non-veg
chicken gilafi kebab,indian,non-veg
cheese chicken kebabs,indian,non-veg
andhra crab meat masala,indian,non-veg
cajun spiced turkey wrapped with bacon,mexican,non-veg
thai lamb balls,thai,non-veg
oyster lamb,thai,non-veg
chicken shami kebab,indian,non-veg
balti meat,mexican,non-veg
coffee marinated mutton chops,thai,non-veg
sali boti (parsi meat dish),indian,non-veg
braised lamb shanks,thai,non-veg
bengali lamb curry,indian,non-veg
malabari fish curry,indian,non-veg
japanese fish stew,japanese,non-veg
malabar fish curry,indian,non-veg
surmai curry with lobster butter rice,thai,veg
seared salmon in tabasco butter,thai,non-veg
"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille",italian,non-veg
fish skewers with coriander and red wine vinegar dressing,thai,non-veg
seafood rock filler,french,veg
shrimp & cilantro ceviche,french,veg
saewoo bokumbop (shrimp fried rice),japanese,veg
thai prawn curry & baked rice ,thai,veg
bihari fish curry,indian,non-veg
curry fish fingers,thai,non-veg
prawn and litchi salad,healthy food,veg
kerala fish curry,indian,non-veg
fish andlouse,french,non-veg
prawn fried rice,thai,veg
damdama fish curry,indian,non-veg
fish with white sauce,italian,non-veg
chilli fish,chinese,non-veg
fish ambultiyal,indian,non-veg
chettinad fish fry,indian,non-veg
fish moilee,indian,non-veg
batter fish,mexican,non-veg
fish salan,mexican,non-veg
spanish fish fry,mexican,non-veg
prawn potato soup,thai,veg
red rice vermicelli kheer,indian,veg
green cucumber shots,healthy food,veg
thai pineapple rice,thai,veg
green asparagus risotto,italian,veg
veg fried rice,chinese,veg
egg and garlic fried rice,chinese,non-veg
curd rice,indian,veg
fried rice with soya chunks,chinese,veg
corn pulao,indian,veg
zucchini methi pulao,indian,veg
lemon rice,indian,veg
kale channe ki biryani,indian,veg
chicken paella,mexican,non-veg
thai fish curry,thai,non-veg
vegetable pulao,indian,veg
oats shallots pulao,healthy food,veg
shiitake fried rice with water chestnuts,chinese,veg
lotus leaf wrapped fried rice,chinese,veg
vegetable biryani,indian,veg
avial with red rice,indian,veg
rice in lamb stock,thai,non-veg
vegetable bruschetta,italian,veg
red wine braised mushroom flatbread,italian,veg
strawberry & pistachio breton tart,dessert,veg
tricolour pizza,italian,veg
instant rava dosa,indian,veg
easy bread poha,indian,veg
bread chana basket,indian,veg
spaghetti with clams & crispy bread crumbs,italian,veg
kasha bread,french,veg
egg paratha,indian,non-veg
egg and cheddar cheese sandwich,mexican,non-veg
egg in a blanket,french,non-veg
bread dahi vada,indian,veg
cheese and avocado parantha,mexican,veg
bread with tomatoes and olives,italian,veg
lemon poppy seed cake,dessert,veg
chocolate kaju katli,dessert,veg
mix fruit laccha rabri tortilla crunch,mexican,veg
pista chocolate & mandarin,dessert,veg
banana and chia tea cake,dessert,veg
chocolate and almond rum ball ,dessert,veg
lemon sushi cake,dessert,veg
chocolate doughnut,dessert,veg
spiced almond banana jaggery cake,dessert,veg
fennel scented sweet banana fritters,dessert,veg
camel milk cake tart,dessert,veg
quinoa coconut crumble custard,dessert,veg
lamb barley pot,healthy food,non-veg
al hachi chicken,indian,non-veg
berry parfait hazelnut white chocolate sable,dessert,veg
badam papite ke kebab with pineapple salsa,indian,non-veg
mixed vegetable soup,healthy food,veg
duo of chocolate and strawberry,dessert,veg
mustard-parmesan whole roasted cauliflower,healthy food,veg
hassel back sweet potatoes,healthy food,veg
mother christmas cake,dessert,veg
matcha tea macarons,dessert,veg
"amaranthus granola with lemon yogurt, berries and marigold",healthy food,veg
chocolate fudge cookies,dessert,veg
veg summer rolls,thai,veg
eggless vanilla cake,dessert,veg
sweet potato pie,dessert,veg
wok tossed asparagus in mild garlic sauce,healthy food,veg
cinnamon oatmeal pancakes,healthy food,veg
chocolate chip cheesecake,dessert,veg
chocolate lava cake,dessert,veg
eggless coffee cupcakes,dessert,veg
chicken in white wine,italian,non-veg
apple and walnut cake,dessert,veg
gluten free almond cake,healthy food,veg
cinnamon star cookies,dessert,veg
whole wheat cake,healthy food,veg
plum cake,dessert,veg
double chocolate easter cookies,dessert,veg
holi special malai kofta,indian,veg
homemade gulab jamun,dessert,veg
lamb rogan josh,french,non-veg
fish curry,thai,non-veg
rice kheer,indian,veg
assorted rice kheer sushi,japanese,veg
jalebi with fennel yogurt pudding,dessert,veg
broccoli souffle,italian,veg
christmas dry fruit cake,dessert,veg
microwave chicken steak,healthy food,non-veg
cheese and ham roll,snack,veg
vegetable manchurian,chinese,veg
jerk chicken,indian,non-veg
lemon poppy seed cake ,dessert,veg
steam bunny chicken bao ,japanese,non-veg
double chocolate easter cookies ,dessert,veg
orange quinoa sevaiyan,healthy food,veg
spicy creamy kadai chicken,indian,non-veg
apple kheer,dessert,veg
ragi oats ladoo (laddu),dessert,veg
lamb korma,indian,non-veg
ragi coconut ladoo (laddu),dessert,veg
quick chicken curry,indian,non-veg
chicken shaami kebab,indian,non-veg
chicken masala,indian,non-veg
holi special bhang pakode,indian,veg
kuttu atta pizza,italian,veg
arbi kofta with mint yogurt dip,snack,veg
puffed rice squares,snack,veg
red velvet banana pudding,dessert,veg
baked wild berry cheesecake,dessert,veg
spiced orange valencia cake,dessert,veg
jalapeno cheese fingers,mexican,veg
californian breakfast benedict,snack,veg
chocolate marquise,dessert,veg
corn & jalapeno poppers,mexican,veg
banana phirni tartlets with fresh strawberries,snack,veg
mexican pizza,mexican,veg
apple and pear cake,healthy food,veg
microwave chocolate cake,dessert,veg
white chocolate and lemon pastry,dessert,veg
mixed beans salad,healthy food,veg
baked raw banana samosa,snack,veg
coconut mango oatmeal with cinnamon hint,healthy food,veg
fruit cube salad,healthy food,veg
veg hakka noodles,chinese,veg
strawberry quinoa pancakes,healthy food,veg
spinach & banana pancakes,healthy food,veg
french onion grilled cheese,french,veg
pasta in cheese sauce,italian,veg
deviled scotch egg,french,non-veg
amritsari fish,indian,non-veg
butter chicken,indian,non-veg
chicken razala,indian,non-veg
chicken tikka,indian,non-veg
chicken tikka masala,indian,non-veg
mushroom matar,indian,veg
tandoori chicken,indian,non-veg
tandoori fish tikka,indian,non-veg
chettinadu chicken,indian,non-veg
chicken 65,chinese,non-veg
kolim / jawla,indian,veg
black rice,healthy food,veg
brown rice,healthy food,veg
koldil chicken,chinese,non-veg
red rice,healthy food,veg
rice,indian,veg
sunga pork,japanese,veg
banana chips,snack,veg
bhurji- egg,indian,non-veg
flattened rice / poha,indian,veg
puffed rice,snack,veg
miso-butter roast chicken with acorn squash panzanella,japanese,non-veg
honeydew salad with ginger dressing and peanuts,healthy food,veg
kimchi and miso noodle soup,korean,veg
spicy korean steak,korean,non-veg
french spiced bread,french,veg
quinoa bowl and berries,healthy food,veg
shawarma-spiced braised leg of lamb,indian,non-veg
roast pork tenderloin with carrot romesco, korean,non-veg
"ricotta gnocchi with asparagus, peas, and morels",italian,veg
crispy pakora,indian,veg
lamb tikka,indian,non-veg
grilled sweet prawn,chinese,non-veg
pho tai rare beef,vietnames,non-veg
summer rolls,vietnames,non-veg
spice chicken baugette,vietnames,non-veg
bean curd rolls,vietnames,veg
pho chay soup,vietnames,veg
pho ga chicken,vietnames,non-veg
chicken sweet corn soup,chinese,non-veg
thai spareribs,thai,non-veg
frenched green beans,french,veg
lemony crab salad with baby greens,healthy food,non-veg
mushroom manchruian,indian,veg
biryani,indian,non-veg
tandoori chicken,indian,non-veg
shrimp olivier,french,non-veg
potato casserole,italian,veg
thyme-roasted sweet potatoes,healthy food,veg
noodle curry,vietnames,non-veg
grill lemon grass pork baguette,vietnames,non-veg
sukuti chatpate,nepalese,non-veg
cheese naan,indian,veg
mushroom rice,nepalese,veg
bringle alo,nepalese,veg
mutar paneer,indian,veg
cucumber and radish salad,healthy food,veg
channa masala,indian,veg
saag alo ,nepalese,veg
alo tama bodi,nepalese,veg
tarka daal,nepalese,veg
jeera alu,nepalese,veg
nepali chicken curry,nepalese,non-veg
lamb shashlik,indian,non-veg
hyakula,nepalese,non-veg
alo achar,nepalese,veg
chicken momo,nepalese,non-veg
black-bean burgers,chinese,veg
parmesan toasts,italian,veg
rice with soy-glazed bonito flakes and sesame seeds,japanese,non-veg
shirazi salad,healthy food,veg
sesame noodles with chili oil and scallions,chinese,veg
thai green curry ,thai,veg
ground pork menudo,spanish,non-veg
bao bun ,chinese,non-veg
garlic naan,indian,veg
egg curry with tomatoes and cilantro,indian,non-veg
kimchi bokumbab,korean,non-veg
korean fried chicken,korean,non-veg
prawn kastu curry,japanese,non-veg
beef bibimbab,korean,non-veg
sweet and sour chicken fried rice,chinese,non-veg
sea food soup,chinese,non-veg
pad thai,thai,non-veg
spicy kimchi tofu stew,korean,veg
slow-roasted pork ,korean,non-veg
pico de gallo verde,mexican,veg
pineapple-coconut rice,thai,veg
lamb and green squash dumplings,chinese,non-veg
crispy tofu balls,japanese,veg
grilled chicken with almond and garlic sauce,healthy food,non-veg
parmesan cauliflower and parsley salad,italian,veg
vietnamese chicken salad,vietnames,non-veg
eggplant and beef stir-fry,thai,non-veg
stir-fried lettuces with crispy shallots,chinese,non-veg
chicken and dumplings,chinese,non-veg
asian salmon bowl with lime drizzle,thai,non-veg
pasta with garlic-scape pesto,italian,veg
pico de gallo,mexican,veg
basmati rice with summer vegetable salad,indian,veg
fresh corn tortillas,mexican,veg
quinoa tabbouleh,healthy food,veg
grilled clams with herb butter,french,non-veg
rajas poblanas,mexican,veg
braised beef short ribs,korean,non-veg
fig and sesame tart with cardamom orange cream,dessert,non-veg
rouille,french,veg
kimchi toast,korean,veg
"tacos de gobernador (shrimp, poblano, and cheese tacos)",mexican,non-veg
melted broccoli pasta with capers and anchovies,french,non-veg
lemon-ginger cake with pistachios,dessert,non-veg
rosemary roasted vegetables,healthy food,veg
